stream_id,window,outlier_indices,outlying_attributes,ground_truth,TP,FP,FN,TN,precision,recall,f1_score
4,window_0,752,"['V38', 'V43', 'V44', 'V40', 'V39', 'V45']","['V37', 'V43', 'V44', 'V48', 'V40', 'V46', 'V47', 'V39', 'V38', 'V45']",6,0,4,2,1.0,0.6,0.7499999999999999
4,window_0,773,"['V41', 'V37', 'V45', 'V38', 'V43', 'V48']","['V41', 'V38', 'V43', 'V44']",3,3,1,5,0.5,0.75,0.6
4,window_0,962,"['V37', 'V48', 'V45', 'V44', 'V38', 'V41', 'V40', 'V43']","['V39', 'V43', 'V37', 'V38', 'V45', 'V48']",5,3,1,3,0.625,0.8333333333333334,0.7142857142857143
5,window_0,11,"['V63', 'V62', 'V56']","['V66', 'V53', 'V60', 'V63', 'V58', 'V56', 'V59', 'V62']",3,0,5,10,1.0,0.375,0.5454545454545454
5,window_0,17,"['V53', 'V49']","['V62', 'V64']",0,2,2,14,0.0,0.0,0.0
5,window_0,37,"['V53', 'V49', 'V52']","['V64', 'V57', 'V50']",0,3,3,12,0.0,0.0,0.0
5,window_0,161,"['V62', 'V63', 'V61', 'V55', 'V58']","['V53', 'V61', 'V50', 'V64', 'V62', 'V57', 'V63', 'V54', 'V58', 'V49', 'V52']",4,1,7,6,0.8,0.36363636363636365,0.5000000000000001
5,window_0,213,"['V53', 'V49', 'V50']","['V51', 'V66']",0,3,2,13,0.0,0.0,0.0
5,window_0,244,"['V53', 'V61', 'V62', 'V63']","['V60', 'V57', 'V53', 'V51', 'V62', 'V59', 'V49', 'V54', 'V65', 'V56', 'V50', 'V63', 'V64', 'V61', 'V66']",4,0,11,3,1.0,0.26666666666666666,0.4210526315789474
5,window_0,533,['V53'],"['V58', 'V52', 'V61', 'V56', 'V51', 'V50', 'V64', 'V49']",0,1,8,9,0.0,0.0,0.0
5,window_0,753,"['V53', 'V63', 'V62', 'V61']","['V60', 'V65', 'V49', 'V62', 'V56', 'V61', 'V52', 'V59', 'V64']",2,2,7,7,0.5,0.2222222222222222,0.30769230769230765
5,window_0,934,"['V61', 'V63', 'V62', 'V54', 'V50', 'V51']","['V60', 'V61', 'V53', 'V52', 'V66', 'V49', 'V50', 'V51']",3,3,5,7,0.5,0.375,0.42857142857142855
5,window_0,988,"['V63', 'V49', 'V61', 'V62']","['V51', 'V57', 'V52', 'V56', 'V61']",1,3,4,10,0.25,0.2,0.22222222222222224
